index	vi_meaning	en_definition	example_meaning_en	example_meaning_vi	example_usage_en	example_usage_vi	usage_note
141	thịt gà; con gà	the meat from a chicken, or the farm bird itself	We had chicken and rice for dinner.	Chúng tôi ăn thịt gà và cơm vào bữa tối.	There are six chickens on the farm.	Có sáu con gà trong trang trại.	Chicken is uncountable for meat and countable for the animal.
142	đứa trẻ	a young person who is not yet an adult	The child is learning to read.	Đứa trẻ đang học đọc.	This ticket is free for children under five.	Vé này miễn phí cho trẻ em dưới năm tuổi.	The irregular plural of child is children.
143	sô-cô-la	a sweet brown food made from cocoa	She gave me some chocolate.	Cô ấy cho tôi một ít sô-cô-la.	He bought a box of chocolates.	Anh ấy mua một hộp kẹo sô-cô-la.	Chocolate is uncountable as food; chocolates are individual pieces.
144	chọn	to decide which person or thing you want	Choose a color for the wall.	Hãy chọn một màu cho bức tường.	You can choose between tea and coffee.	Bạn có thể chọn giữa trà và cà phê.	Use choose between alternatives or choose to + verb.
145	thành phố	a large and important town	Ho Chi Minh City is very busy.	Thành phố Hồ Chí Minh rất nhộn nhịp.	They live in the city center.	Họ sống ở trung tâm thành phố.	City is countable; the plural is cities.
146	lớp học; buổi học	a group of students learning together, or a lesson	Our class begins at nine.	Lớp của chúng tôi bắt đầu lúc chín giờ.	She is taking an English class.	Cô ấy đang học một lớp tiếng Anh.	Take a class means attend a course or lesson.
147	phòng học	a room where students are taught	There are twenty desks in the classroom.	Có hai mươi chiếc bàn trong phòng học.	Please speak English in the classroom.	Vui lòng nói tiếng Anh trong lớp học.	Use in the classroom for activity inside the room.
148	sạch; làm sạch	not dirty, or to remove dirt	The kitchen is clean now.	Nhà bếp bây giờ sạch rồi.	Please clean the table after dinner.	Vui lòng lau bàn sau bữa tối.	Clean can be an adjective or a verb.
149	leo; trèo	to move upward using your hands and feet	The children climbed the tree.	Bọn trẻ trèo lên cây.	We climbed up the hill slowly.	Chúng tôi từ từ leo lên đồi.	Climb can take a direct object; climb up emphasizes upward movement.
150	đồng hồ treo tường/để bàn	a device that shows the time and is not worn on the body	The clock says ten thirty.	Đồng hồ chỉ mười giờ ba mươi.	There is a clock on the wall.	Có một chiếc đồng hồ trên tường.	A clock is not worn; a watch is worn on the wrist.
151	đóng; khép	to move something so that an opening is covered	Please close the window.	Vui lòng đóng cửa sổ.	The store closes at nine.	Cửa hàng đóng cửa lúc chín giờ.	Close can take an object or describe a business ending service.
152	quần áo	the things people wear	Her clothes are in the closet.	Quần áo của cô ấy ở trong tủ.	I need some warm clothes for winter.	Tôi cần một ít quần áo ấm cho mùa đông.	Clothes is plural and has no singular form.
153	câu lạc bộ; hội	a group of people who meet for a shared activity	I joined the school music club.	Tôi tham gia câu lạc bộ âm nhạc của trường.	The club meets every Friday.	Câu lạc bộ gặp nhau vào mỗi thứ Sáu.	Join a club means become a member.
154	áo khoác	a piece of clothing worn over other clothes	Put on your coat; it is cold outside.	Hãy mặc áo khoác; bên ngoài trời lạnh.	She took off her coat at the door.	Cô ấy cởi áo khoác ở cửa.	Put on and take off are common verbs with coat.
155	cà phê	a dark drink made from roasted coffee beans	I drink coffee every morning.	Tôi uống cà phê mỗi sáng.	Can I have a cup of coffee?	Tôi có thể gọi một tách cà phê không?	Coffee is uncountable; a coffee can mean one serving in informal use.
156	lạnh; cảm lạnh	having a low temperature, or a common minor illness	The water is too cold to swim in.	Nước quá lạnh để bơi.	I have a bad cold today.	Hôm nay tôi bị cảm nặng.	Cold is an adjective for temperature; have a cold uses it as a noun.
157	trường cao đẳng; đại học	a place where students study after high school	She studies art at college.	Cô ấy học nghệ thuật ở trường cao đẳng.	He is a college student in Boston.	Anh ấy là sinh viên đại học ở Boston.	At college describes studying there; college student is a common compound.
158	màu sắc	the quality that makes things look red, blue, green, and so on	What color is your car?	Xe của bạn màu gì?	The room needs a little more color.	Căn phòng cần thêm một chút màu sắc.	Color is countable for a particular color and uncountable as a general quality.
159	đến; đi tới	to move toward or arrive at a place or person	Come here, please.	Lại đây nhé.	Would you like to come with us?	Bạn có muốn đi cùng chúng tôi không?	Come with someone means accompany them.
160	phổ biến; thông thường	happening often or found in many places	This is a common mistake.	Đây là một lỗi phổ biến.	It is common for shops to close early on Sunday.	Các cửa hàng đóng cửa sớm vào Chủ nhật là chuyện thường.	Common for someone/something to do describes a usual situation.
161	công ty	a business organization that sells goods or services	She works for a software company.	Cô ấy làm việc cho một công ty phần mềm.	The company employs 200 people.	Công ty sử dụng 200 người.	Work for a company names your employer.
162	so sánh	to examine people or things to see how they are similar or different	Compare the two pictures.	Hãy so sánh hai bức tranh.	People often compare this city with New York.	Mọi người thường so sánh thành phố này với New York.	Compare A with B is the common learner pattern.
163	hoàn chỉnh; hoàn thành	having every necessary part, or to finish something	The list is now complete.	Danh sách bây giờ đã đầy đủ.	Please complete the form before Friday.	Vui lòng hoàn thành biểu mẫu trước thứ Sáu.	Complete can be an adjective or a verb.
164	máy tính	a machine that stores and processes information	My computer is very slow today.	Máy tính của tôi hôm nay rất chậm.	She uses a computer for work.	Cô ấy sử dụng máy tính để làm việc.	Use a computer for a purpose.
165	buổi hòa nhạc	a public performance of music	The concert starts at eight.	Buổi hòa nhạc bắt đầu lúc tám giờ.	We went to a rock concert last night.	Tối qua chúng tôi đi xem một buổi hòa nhạc rock.	Go to a concert; a rock or classical concert describes the music.
166	cuộc trò chuyện	an informal talk between two or more people	We had a long conversation after dinner.	Chúng tôi đã trò chuyện lâu sau bữa tối.	She started a conversation with the new student.	Cô ấy bắt chuyện với học sinh mới.	Have a conversation and start a conversation with someone are common patterns.
167	nấu; nấu ăn	to prepare food using heat	I cook dinner every evening.	Tôi nấu bữa tối mỗi tối.	She cooked a meal for her family.	Cô ấy nấu một bữa ăn cho gia đình.	Cook something for someone states who receives the food.
168	việc nấu ăn	the activity of preparing food	Cooking takes time and practice.	Nấu ăn cần thời gian và luyện tập.	My brother does most of the cooking at home.	Anh trai tôi làm phần lớn việc nấu ăn ở nhà.	Cooking is uncountable when it means the activity.
169	mát; ngầu; tuyệt	pleasantly cold, or informally very good	The evening air is cool.	Không khí buổi tối mát mẻ.	That's a cool idea!	Đó là một ý tưởng tuyệt đấy!	Cool is informal when it means fashionable or excellent.
170	đúng; sửa cho đúng	accurate, or to remove an error	Your answer is correct.	Câu trả lời của bạn đúng.	Please correct the spelling mistake.	Vui lòng sửa lỗi chính tả.	Correct can be an adjective or a verb.
171	chi phí; có giá	the amount paid for something, or to have a particular price	The total cost was fifty dollars.	Tổng chi phí là năm mươi đô-la.	How much does the ticket cost?	Vé có giá bao nhiêu?	Cost is a noun; as a verb it does not use do twice beyond the question helper.
172	có thể; đã có thể	used to express past ability, possibility, or a polite request	I could swim when I was five.	Tôi đã biết bơi khi năm tuổi.	Could you open the door, please?	Bạn có thể mở cửa giúp tôi được không?	Could is followed by the base verb and often makes requests more polite.
173	đất nước; quốc gia	a nation with its own government and borders	Vietnam is a beautiful country.	Việt Nam là một đất nước xinh đẹp.	She moved to another country for work.	Cô ấy chuyển đến một nước khác để làm việc.	Country is countable for a nation; the country can also mean rural land.
174	khóa học	a series of lessons in a subject	I'm taking an English course.	Tôi đang học một khóa tiếng Anh.	The course lasts for ten weeks.	Khóa học kéo dài mười tuần.	Take a course means study it; a course in a subject names the field.
175	anh/chị/em họ	a child of your aunt or uncle	My cousin lives in Da Nang.	Anh họ tôi sống ở Đà Nẵng.	I spent the weekend with my cousins.	Tôi dành cuối tuần với các anh chị em họ.	Cousin does not show gender; add male or female only when necessary.
176	con bò	a large farm animal kept for milk or meat	The cow is eating grass.	Con bò đang ăn cỏ.	This farm has twenty dairy cows.	Trang trại này có hai mươi con bò sữa.	Cow is countable; dairy cow means a cow kept for milk.
177	kem; lớp kem; kem sữa	the thick fatty part of milk, or a soft substance used in food and cosmetics	She put cream in her coffee.	Cô ấy cho kem sữa vào cà phê.	The cake has chocolate cream on top.	Chiếc bánh có lớp kem sô-cô-la ở trên.	Cream is usually uncountable.
178	tạo ra	to make something new	The activity helped create a friendly atmosphere.	Hoạt động giúp tạo ra bầu không khí thân thiện.	You can create an account in a few minutes.	Bạn có thể tạo một tài khoản trong vài phút.	Create is followed directly by the thing made.
179	văn hóa	the ideas, customs, and way of life of a group of people	Food is an important part of culture.	Ẩm thực là một phần quan trọng của văn hóa.	The course teaches students about Japanese culture.	Khóa học dạy học sinh về văn hóa Nhật Bản.	Use the culture of a group or a named culture such as Japanese culture.
180	cốc; tách	a small container used for drinking	There is a cup on the table.	Có một chiếc cốc trên bàn.	Would you like a cup of tea?	Bạn có muốn một tách trà không?	A cup of describes both the container and an amount of drink.
